,player,team,xg_shot,psxg_shot,outcome,distance,body_part,notes,sca_1_player,sca_1_type,sca_2_player,sca_2_type,match
0,Florian Wirtz,de Germany,0.10,0.37,Goal,20,Right Foot,,Joshua Kimmich,Pass (Live),Toni Kroos,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
1,Jamal Musiala,de Germany,0.18,0.34,Goal,14,Right Foot,,Jamal Musiala,Take-On,Kai Havertz,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
2,Kai Havertz,de Germany,0.14,0.37,Saved,21,Left Foot,"Free kick, Deflected",Toni Kroos,Pass (Live),İlkay Gündoğan,Pass (Dead),Germany-Scotland-June-14-2024-European-Championship
3,İlkay Gündoğan,de Germany,0.10,0.18,Saved,9,Head,,Joshua Kimmich,Pass (Live),İlkay Gündoğan,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
4,Kai Havertz (pen),de Germany,0.79,0.96,Goal,13,Left Foot,,İlkay Gündoğan,Fouled,İlkay Gündoğan,Shot,Germany-Scotland-June-14-2024-European-Championship
5,,,,,,,,,,,,,Germany-Scotland-June-14-2024-European-Championship
6,Antonio Rüdiger,de Germany,0.03,0.23,Saved,35,Right Foot,,Jonathan Tah,Pass (Live),Pascal Groß,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
7,Antonio Rüdiger,de Germany,0.02,,Blocked,14,Head,,Maximilian Mittelstädt,Pass (Live),İlkay Gündoğan,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
8,Pascal Groß,de Germany,0.03,,Blocked,24,Right Foot,,Toni Kroos,Pass (Dead),Florian Wirtz,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
9,Joshua Kimmich,de Germany,0.03,,Blocked,24,Right Foot,,Toni Kroos,Pass (Live),Jamal Musiala,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
10,Florian Wirtz,de Germany,0.10,,Off Target,9,Right Foot,Volley,Maximilian Mittelstädt,Pass (Live),Jamal Musiala,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
11,İlkay Gündoğan,de Germany,0.13,,Blocked,9,Left Foot,,Pascal Groß,Pass (Live),Jonathan Tah,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
12,Maximilian Mittelstädt,de Germany,0.03,,Blocked,20,Left Foot,,Pascal Groß,Pass (Live),Antonio Rüdiger,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
13,Florian Wirtz,de Germany,0.03,,Off Target,32,Right Foot,,Toni Kroos,Pass (Live),Pascal Groß,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
14,Leroy Sané,de Germany,0.13,0.15,Saved,14,Left Foot,,Joshua Kimmich,Pass (Live),,,Germany-Scotland-June-14-2024-European-Championship
15,Maximilian Mittelstädt,de Germany,0.02,,Off Target,24,Left Foot,,Toni Kroos,Pass (Live),Jamal Musiala,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
16,Niclas Füllkrug,de Germany,0.19,0.39,Goal,17,Right Foot,,Jamal Musiala,Pass (Live),Maximilian Mittelstädt,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
17,Maximilian Mittelstädt,de Germany,0.03,,Off Target,19,Left Foot,Volley,Maximilian Mittelstädt,Pass (Live),Pascal Groß,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
18,Leroy Sané,de Germany,0.01,0.02,Saved,23,Left Foot,,Joshua Kimmich,Pass (Live),Leroy Sané,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
19,Leroy Sané,de Germany,0.04,,Off Target,29,Left Foot,,Niclas Füllkrug,Pass (Live),Emre Can,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
20,Scott McKenna,sct Scotland,0.02,,Off Target,12,Head,,Kenny McLean,Fouled,Angus Gunn,Pass (Dead),Germany-Scotland-June-14-2024-European-Championship
21,Emre Can,de Germany,0.04,0.34,Goal,23,Right Foot,Deflected,Thomas Müller,Pass (Live),Leroy Sané,Pass (Live),Germany-Scotland-June-14-2024-European-Championship
22,Attila Szalai,hu Hungary,0.09,,Off Target,13,Left Foot,,Willi Orban,Pass (Live),Dominik Szoboszlai,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
23,Roland Sallai,hu Hungary,0.05,,Off Target,24,Right Foot,,Attila Fiola,Pass (Live),Ádám Nagy,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
24,Kwadwo Duah,ch Switzerland,0.51,0.89,Goal,11,Right Foot,,Michel Aebischer,Pass (Live),Manuel Akanji,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
25,Ruben Vargas,ch Switzerland,0.54,0.45,Saved,14,Right Foot,,,,,,Hungary-Switzerland-June-15-2024-European-Championship
26,Fabian Schär,ch Switzerland,0.01,,Blocked,27,Right Foot,,Granit Xhaka,Pass (Live),Manuel Akanji,Pass (Live),Hungary-Switzerland-June-15-2024-European-Championship
