,shirtnumber,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,name,match
0,7,FW,25-003,62,1,1,1,1,1,1,0,0,25,0,0,2,0.9,0.1,0.2,1,1,12,17,70.6,0,8,0,0,0,Havertz Kai,Germany-Scotland-June-14-2024-European-Championship
1,9,FW,31-126,28,1,0,0,0,1,1,0,0,5,0,0,0,0.2,0.2,0.0,1,0,3,3,100.0,0,0,0,0,0,Füllkrug Niclas,Germany-Scotland-June-14-2024-European-Championship
2,17,LW,21-042,62,1,0,0,0,3,1,0,0,44,0,0,1,0.2,0.2,0.0,1,0,30,33,90.9,3,22,4,2,1,Wirtz Florian,Germany-Scotland-June-14-2024-European-Championship
3,19,RW,28-155,28,0,0,0,0,3,2,0,0,24,0,0,0,0.2,0.2,0.0,2,1,13,15,86.7,4,14,2,4,0,Sané Leroy,Germany-Scotland-June-14-2024-European-Championship
4,10,"RW,LW",21-109,73,1,0,0,0,1,1,0,0,49,2,1,4,0.2,0.2,0.0,5,2,32,33,97.0,2,28,5,10,5,Musiala Jamal,Germany-Scotland-June-14-2024-European-Championship
5,13,LW,34-275,17,0,1,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,1,7,11,63.6,1,5,1,0,0,Müller Thomas,Germany-Scotland-June-14-2024-European-Championship
6,21,AM,33-234,90,0,0,0,0,2,1,0,0,42,2,0,0,0.2,0.2,0.0,5,2,32,35,91.4,2,22,1,0,0,Gündoğan İlkay,Germany-Scotland-June-14-2024-European-Championship
7,8,DM,34-162,79,0,0,0,0,0,0,0,0,106,0,1,1,0.0,0.0,0.2,6,1,102,105,97.1,15,63,0,0,0,Kroos Toni,Germany-Scotland-June-14-2024-European-Championship
8,25,DM,30-154,11,1,0,0,0,1,1,0,0,13,1,0,0,0.0,0.0,0.0,1,0,10,11,90.9,0,5,0,0,0,Can Emre,Germany-Scotland-June-14-2024-European-Championship
9,23,DM,29-266,45,0,0,0,0,0,0,1,0,32,1,0,2,0.0,0.0,0.0,0,0,25,28,89.3,0,15,0,0,0,Andrich Robert,Germany-Scotland-June-14-2024-European-Championship
10,5,DM,32-365,45,0,0,0,0,1,0,0,0,73,1,0,0,0.0,0.0,0.0,5,0,65,69,94.2,5,37,0,0,0,Groß Pascal,Germany-Scotland-June-14-2024-European-Championship
11,18,LB,27-088,90,0,0,0,0,3,0,0,0,87,1,0,4,0.1,0.1,0.1,4,1,63,73,86.3,6,51,6,1,0,Mittelstädt Maximilian,Germany-Scotland-June-14-2024-European-Championship
12,4,CB,28-124,90,0,0,0,0,0,0,1,0,97,0,0,0,0.0,0.0,0.0,2,0,92,94,97.9,7,60,0,0,0,Tah Jonathan,Germany-Scotland-June-14-2024-European-Championship
13,2,CB,31-103,90,0,0,0,0,2,1,0,0,102,1,0,0,0.0,0.0,0.0,1,0,85,93,91.4,9,59,0,0,0,Rüdiger Antonio,Germany-Scotland-June-14-2024-European-Championship
14,6,RB,29-127,90,0,1,0,0,1,0,0,0,95,1,0,1,0.0,0.0,0.3,4,1,80,90,88.9,7,55,1,1,0,Kimmich Joshua,Germany-Scotland-June-14-2024-European-Championship
